date	video_id	title	duration_seconds	insult_seconds	insult_hms	insult_share	source_file	source_url
2025-12-19	QFwTuEr2Y64	YOU'RE A SOCIOPATH - Destiny Confronted by Pisco on his Lies	34112	924	0:15:24	2.7%	transcripts/ryle-kittenhouse/processed/20251219-QFwTuEr2Y64.txt	https://youtu.be/QFwTuEr2Y64?t=0
2025-07-29	Q54CPEwr-Qk	DESTINY CRASHOUT as the ENTIRE  Internet MOCKS him INCESSANTLY! (Its bad)	14456	567	0:09:27	3.9%	transcripts/ryle-kittenhouse/processed/20250729-Q54CPEwr-Qk.txt	https://youtu.be/Q54CPEwr-Qk?t=0
2025-04-12	Wb93GSxP6kU	Destiny Abuses ANOTHER Orbiter, this time in Public and with CONSENT? (ft. KELLY JEAN!)	11665	483	0:08:03	4.1%	transcripts/ryle-kittenhouse/processed/20250412-Wb93GSxP6kU.txt	https://youtu.be/Wb93GSxP6kU?t=0
2025-04-22	W6Jqs65cO9M	WillyMacShow BACKSTABS Destiny! Shocking Betrayal Paired With Poor Research - Kelly Jean Weighs In	17082	478	0:07:58	2.8%	transcripts/ryle-kittenhouse/processed/20250422-W6Jqs65cO9M.txt	https://youtu.be/W6Jqs65cO9M?t=0
2025-08-12	paGeIacIlVM	WillyMacShow goes FULL SCH1Z0 in UNHINGED Manifesto Attacking Commentary and Defending Destiny	7200	449	0:07:29	6.2%	transcripts/ryle-kittenhouse/processed/20250812-paGeIacIlVM.txt	https://youtu.be/paGeIacIlVM?t=0
2025-12-21	D1Xh8ojDv48	DESTINY'S D@XING CAMPAIGN just got A LOT WORSE	11904	441	0:07:21	3.7%	transcripts/ryle-kittenhouse/processed/20251221-D1Xh8ojDv48.txt	https://youtu.be/D1Xh8ojDv48?t=0
2025-12-29	ICL93DmaY10	Destiny CONFRONTS JSTLK During Stream	7894	425	0:07:05	5.4%	transcripts/ryle-kittenhouse/processed/20251229-ICL93DmaY10.txt	https://youtu.be/ICL93DmaY10?t=0
2025-08-16	YRrscQPtdGo	Destiny Skinwalker DESPERATELY Attempts to Defend PRO-D@XXING Positions (Foodslops)	10568	358	0:05:58	3.4%	transcripts/ryle-kittenhouse/processed/20250816-YRrscQPtdGo.txt	https://youtu.be/YRrscQPtdGo?t=0
2025-07-26	vwv88NExsfw	Destiny comes out as PRO-D@XXING as he CAREENS towards ROCK BOTTOM	10543	334	0:05:34	3.2%	transcripts/ryle-kittenhouse/processed/20250726-vwv88NExsfw.txt	https://youtu.be/vwv88NExsfw?t=0
2025-12-20	wgrXUnfuDyY	DESTINY FORCED To Answer For His Crimes	8796	323	0:05:23	3.7%	transcripts/ryle-kittenhouse/processed/20251220-wgrXUnfuDyY.txt	https://youtu.be/wgrXUnfuDyY?t=0
